term_sanskrit,devanagari,transliteration,primary_meaning,extended_meaning,modern_equivalent,appears_in_chapters,key_verse
Nishkama Karma,निष्काम कर्म,nishkama karma,"desireless action, action without attachment to results","The Gita's central practical teaching. Act fully, give your best, do your duty — but release attachment to the outcome. This is not indifference; it is the highest form of engagement. Like a surgeon who must operate perfectly but cannot be attached to whether the patient lives.","flow state, process over outcome, servant leadership, unconditional service","2,3,4,5,18",BG_2_47
Sthitaprajna,स्थितप्रज्ञ,sthitaprajna,"the person of steady wisdom, one whose consciousness is stable in all circumstances","The Gita's ideal human type. The sthitaprajna is not reactive — they remain inwardly stable whether praised or blamed, in pleasure or pain, in abundance or loss. This is not emotional numbness; it is rooted presence.","stoic sage, emotionally resilient, mentally strong, non-reactive",2,BG_2_55
Ahankara,अहंकार,ahankara,"ego, the false identification with body and mind","The 'I-maker' — the part of the mind that creates the sense of a separate, fixed self. Ahankara is not inherently bad (it allows functioning in the world) but becomes destructive when we over-identify with it and lose sight of our deeper nature.","ego, false self, identity attachment, pride","3,7,13,16,18",BG_3_27
Moksha,मोक्ष,moksha,"liberation, freedom from the cycle of birth and death","The ultimate goal of Vedantic spirituality — liberation from the endless cycle of samsara (birth, death, rebirth). Achieved through Self-knowledge, devotion, and/or selfless action. Not a place but a state of being: the direct recognition of one's true nature as infinite consciousness.","enlightenment, liberation, freedom, self-realization, nirvana","2,4,5,8,13,14,18",BG_18_66
Bhakti,भक्ति,bhakti,"devotion, love for the divine",The path of love and devotion to a personal God. Krishna declares in Chapter 12 that bhakti is the most accessible and highest path. Bhakti does not require intellectual understanding — it requires a loving heart turned toward the divine.,"devotion, unconditional love, worship, prayer","9,11,12,18",BG_9_22
Sannyasa,संन्यास,sannyasa,renunciation,"The renunciation of the fruits of action, not necessarily action itself. The Gita teaches inner sannyasa — one can live fully in the world while internally renouncing all claims to results. The renunciate and the active yogi can both attain liberation.","inner detachment, non-clinging, minimalism of the mind","3,4,5,6,18",BG_5_3
Vairagya,वैराग्य,vairagya,"dispassion, non-attachment","The quality of being unattached to sensory experience, pleasures, and outcomes. Not hatred of the world, but freedom from dependency on the world for one's inner state. Krishna cites vairagya alongside abhyasa (practice) as the two means of controlling the mind.","non-attachment, inner freedom, not being hooked, equanimity","6,13",BG_6_35
Abhyasa,अभ्यास,abhyasa,"practice, repeated effort, spiritual discipline","Consistent, repeated practice as the means of training the mind and purifying consciousness. Without abhyasa, wisdom remains theoretical. With abhyasa, it becomes lived reality. The Gita places abhyasa alongside vairagya as the cure for the restless mind.","practice, discipline, consistency, training, daily habits","6,12",BG_6_35
Yajna,यज्ञ,yajna,"sacrifice, offering, selfless action as worship","Originally a Vedic fire ritual, yajna in the Gita is expanded to mean any action performed as an offering — as a sacred gift rather than a transaction. When work becomes yajna, it purifies both the worker and the world.","service, giving, vocation as calling, work as worship","3,4,9,18",BG_3_9
Gunas,गुण,gunas,"the three modes/qualities of material nature: sattva, rajas, tamas","The three fundamental forces that compose all of material existence — clarity (sattva), passion (rajas), and inertia (tamas). Everything in nature, including the human mind, food, and action, is a mixture of these three. Liberation comes from transcending all three.","personality modes, states of consciousness, psychological patterns","14,15,17,18",BG_14_5
